Titulo,Custo de Producao,Arrecadacao Bruta,Distribuidora,Genero,Diretor,Nota Rotten Tomatoes,Nota IMDB,Votos IMDB
The Land Girls,8000000.0,146083.0,Gramercy,,,,6.1,1071.0
"First Love, Last Rites",300000.0,10876.0,Strand,Drama,,,6.9,207.0
I Married a Strange Person,250000.0,203134.0,Lionsgate,Comedy,,,6.8,865.0
Let's Talk About Sex,300000.0,373615.0,Fine Line,Comedy,,13.0,,
Slam,1000000.0,1087521.0,Trimark,Drama,,62.0,3.4,165.0
Mississippi Mermaid,1600000.0,2624551.0,MGM,,,,,
Following,6000.0,44705.0,Zeitgeist,,Christopher Nolan,,7.7,15133.0
Foolish,1600000.0,6026908.0,Artisan,Comedy,,,3.8,353.0
Pirates,40000000.0,6341825.0,,,Roman Polanski,25.0,5.8,3275.0
Duel in the Sun,6000000.0,20400000.0,,,,86.0,7.0,2906.0
Tom Jones,1000000.0,37600000.0,,,,81.0,7.0,4035.0
Oliver!,10000000.0,37402877.0,Sony Pictures,Musical,,84.0,7.5,9111.0
To Kill A Mockingbird,2000000.0,13129846.0,Universal,,,97.0,8.4,82786.0
"Tora, Tora, Tora",25000000.0,29548291.0,,,Richard Fleischer,,,
Hollywood Shuffle,100000.0,5228617.0,,,,87.0,6.8,1532.0
Over the Hill to the Poorhouse,100000.0,3000000.0,,,,,,
Wilson,5200000.0,2000000.0,,,,,7.0,451.0
Darling Lili,22000000.0,5000000.0,,,Blake Edwards,,6.1,858.0
The Ten Commandments,13500000.0,80000000.0,,,,90.0,2.5,1677.0
12 Angry Men,340000.0,0.0,United Artists,Drama,Sidney Lumet,,8.9,119101.0
Twelve Monkeys,29000000.0,168841459.0,Universal,Drama,Terry Gilliam,,8.1,169858.0
1776,4000000.0,0.0,Sony/Columbia,Drama,,57.0,7.0,4099.0
1941,32000000.0,94875000.0,Universal,Comedy,Steven Spielberg,33.0,5.6,13364.0
Chacun sa nuit,1900000.0,18435.0,Strand,Thriller/Suspense,,,6.3,365.0
2001: A Space Odyssey,10500000.0,68700000.0,,,Stanley Kubrick,96.0,8.4,160342.0
"20,000 Leagues Under the Sea",5000000.0,28200000.0,Walt Disney Pictures,Adventure,Richard Fleischer,92.0,,
"20,000 Leagues Under the Sea",200000.0,8000000.0,,Adventure,,,,
24 7: Twenty Four Seven,2000000.0,72544.0,October Films,Comedy,Shane Meadows,,6.9,1417.0
Twin Falls Idaho,500000.0,1027228.0,Sony Pictures Classics,Drama,Michael Polish,77.0,7.1,2810.0
Three Kingdoms: Resurrection of the Dragon,20000000.0,22139590.0,,Action,,,,
3 Men and a Baby,15000000.0,167780960.0,Walt Disney Pictures,Comedy,Leonard Nimoy,,5.7,16764.0
3 Ninjas Kick Back,20000000.0,11744960.0,Walt Disney Pictures,Action,,17.0,3.2,3107.0
Forty Shades of Blue,1500000.0,172569.0,Vitagraph Films,Drama,,,6.0,873.0
42nd Street,439000.0,2300000.0,Warner Bros.,Musical,,95.0,7.7,4263.0
Four Rooms,4000000.0,4301000.0,Miramax,Comedy,Robert Rodriguez,14.0,6.4,34328.0
The Four Seasons,6500000.0,42488161.0,Universal,Comedy,Alan Alda,71.0,7.0,1814.0
Four Weddings and a Funeral,4500000.0,242895809.0,Gramercy,Romantic Comedy,Mike Newell,96.0,7.1,39003.0
51 Birch Street,350000.0,84689.0,Truly Indie,,,97.0,7.4,439.0
55 Days at Peking,17000000.0,10000000.0,,Drama,,57.0,6.8,2104.0
Nine 1/2 Weeks,18000000.0,6734844.0,MGM,Drama,Adrian Lyne,,5.4,12731.0
AstÃˆrix aux Jeux Olympiques,113500000.0,132999811.0,Alliance,Adventure,,,4.9,5620.0
The Abyss,70000000.0,54243125.0,20th Century Fox,Action,James Cameron,88.0,7.6,51018.0
Action Jackson,7000000.0,20257000.0,Lorimar Motion Pictures,Action,,10.0,4.6,3856.0
Ace Ventura: Pet Detective,12000000.0,107217396.0,Warner Bros.,Comedy,Tom Shadyac,49.0,6.6,63543.0
Ace Ventura: When Nature Calls,30000000.0,212400000.0,Warner Bros.,Comedy,Steve Oedekerk,,5.6,51275.0
April Fool's Day,5000000.0,12947763.0,Paramount Pictures,Horror,,31.0,,
Among Giants,4000000.0,64359.0,Fox Searchlight,Romantic Comedy,,,5.7,546.0
Annie Get Your Gun,3768785.0,8000000.0,MGM,Musical,,100.0,7.1,1326.0
Alice in Wonderland,3000000.0,0.0,RKO Radio Pictures,Musical,,20.0,6.7,63458.0
The Princess and the Cobbler,24000000.0,669276.0,Miramax,Adventure,,,7.3,893.0
The Alamo,12000000.0,7900000.0,United Artists,Western,John Wayne,54.0,5.9,10063.0
Alexander's Ragtime Band,2000000.0,4000000.0,20th Century Fox,Drama,,,,
Alive,32000000.0,36299670.0,Walt Disney Pictures,Adventure,Frank Marshall,71.0,3.2,124.0
Amen,14000000.0,274299.0,Kino International,Drama,Costa-Gavras,,7.4,5416.0
American Graffiti,777000.0,140000000.0,Universal,Comedy,George Lucas,97.0,7.6,30952.0
American Ninja 2: The Confrontation,350000.0,4000000.0,,Action,Sam Firstenberg,,3.7,2495.0
The American President,62000000.0,107822813.0,Sony Pictures,Romantic Comedy,Rob Reiner,90.0,6.8,22780.0
Annie Hall,4000000.0,38251425.0,MGM,Comedy,Woody Allen,98.0,8.2,65406.0
Anatomie,2500000.0,9598.0,Sony Pictures,Horror,,,6.1,6266.0
The Adventures of Huck Finn,6500000.0,24103594.0,Walt Disney Pictures,Adventure,Stephen Sommers,62.0,5.8,3095.0
The Apartment,3000000.0,24600000.0,United Artists,Romantic Comedy,Billy Wilder,91.0,8.4,36485.0
Apocalypse Now,31500000.0,78800000.0,MGM,Action,Francis Ford Coppola,98.0,8.6,173141.0
Arachnophobia,31000000.0,53208180.0,Walt Disney Pictures,Thriller/Suspense,Frank Marshall,85.0,6.2,20528.0
Arn - Tempelriddaren,16500000.0,14900000.0,,Action,,,6.4,6251.0
Arnolds Park,600000.0,23616.0,The Movie Partners,Thriller/Suspense,,,5.1,77.0
Sweet Sweetback's Baad Asssss Song,150000.0,15200000.0,,,,,5.6,1769.0
And Then Came Love,989000.0,8158.0,Fox Meadow,Comedy,,17.0,4.4,200.0
Around the World in 80 Days,6000000.0,42000000.0,United Artists,Adventure,,73.0,5.6,21516.0
Barbarella,9000000.0,0.0,Paramount Pictures,Adventure,,74.0,5.7,10794.0
Barry Lyndon,11000000.0,20000000.0,Warner Bros.,Drama,Stanley Kubrick,94.0,8.1,39909.0
"Barbarians, The",4000000.0,800000.0,,,,,5.4,236.0
Babe,30000000.0,246100000.0,Universal,Adventure,Chris Noonan,98.0,7.3,35644.0
Boynton Beach Club,2900000.0,3127472.0,Wingate Distribution,Romantic Comedy,,,,
Baby's Day Out,50000000.0,16581575.0,20th Century Fox,Comedy,Patrick Read Johnson,21.0,5.0,8332.0
Bound by Honor,35000000.0,4496583.0,Walt Disney Pictures,,Taylor Hackford,,7.7,10142.0
"Bon Cop, Bad Cop",8000000.0,12671300.0,Alliance,Comedy,,67.0,6.9,151.0
Back to the Future,19000000.0,381109762.0,Universal,Adventure,Robert Zemeckis,96.0,8.4,201598.0
Back to the Future Part II,40000000.0,332000000.0,Universal,Adventure,Robert Zemeckis,64.0,7.5,87341.0
Back to the Future Part III,40000000.0,243700000.0,Universal,Adventure,Robert Zemeckis,71.0,7.1,77541.0
Butch Cassidy and the Sundance Kid,6000000.0,102308900.0,20th Century Fox,Western,George Roy Hill,90.0,8.2,57602.0
Bad Boys,23000000.0,141247413.0,Sony Pictures,Action,Michael Bay,39.0,6.6,53929.0
Body Double,10000000.0,8801940.0,Sony/Columbia,Thriller/Suspense,Brian De Palma,84.0,6.4,9738.0
"The Beast from 20,000 Fathoms",210000.0,5000000.0,Warner Bros.,,,90.0,,
Beastmaster 2: Through the Portal of Time,6000000.0,773490.0,New Line,,,17.0,3.3,1327.0
The Beastmaster,5000000.0,10751126.0,MGM,Action,,50.0,5.7,5734.0
